,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3240.1979255938186,45.44525792313509,-25.29,-26867.411365590095
1,2,-1178.7702283236915,15.075249030812774,-41.64,-26867.411365590095
2,3,-2030.538596730837,25.112413874760083,-66.14,-26867.411365590095
3,4,-3100.406588977093,38.87270498049725,-106.49,-26867.411365590095
4,5,-3656.2711528763025,51.400210658796325,-153.17,-28304.50625406438
5,6,-4291.327501878532,51.95889987439562,-174.48,-28304.50625406438
6,7,-4029.604384321626,49.07130519102692,-193.22,-34053.45219965619
7,8,-4572.629888357598,50.3665931825241,-207.63,-34053.45219965619
8,9,-4439.018544262607,48.21326664439788,-213.94,-34053.45219965619
9,10,-4526.809894951407,45.88858437760736,-214.95,-34053.45219965619
10,11,-4370.454607047161,46.34380855452352,-231.28,-34053.45219965619
11,12,-4221.898730843202,45.75213355777487,-243.63,-34053.45219965619
12,13,-4410.287721195437,46.42794762032907,-246.67,-38565.16443607336
13,14,-4851.999849815144,49.12462706664068,-264.63,-38565.16443607336
14,15,-4906.119083275409,47.910445577543825,-261.02,-38565.16443607336
15,16,-5180.924669178998,48.539209461936515,-265.84,-38565.16443607336
16,17,-5293.377886279832,47.13194767429218,-270.8,-38565.16443607336
17,18,-5503.222460902685,46.95853927826519,-270.13,-38565.16443607336
18,19,-5845.944937358231,46.9127359438166,-266.16,-38565.16443607336
19,20,-5603.562658704134,46.39852392048984,-267.18,-38565.16443607336
20,21,-7033.6131654587025,43.662073778862435,-225.44,-38565.16443607336
21,22,-6686.700499007558,43.24032660115825,-231.07,-38565.16443607336
22,23,-6561.385008861305,42.712857104572635,-233.72,-38565.16443607336
23,24,-6623.992969816809,43.09375974486303,-237.97,-38565.16443607336
24,25,-6685.206622814992,43.45984672077108,-242.51,-38565.16443607336
25,26,-6696.799216605748,43.439694339288195,-243.58,-38565.16443607336
26,27,-6593.18097602199,43.41668086884888,-249.59,-38565.16443607336
27,28,-6625.2863398245645,43.36856813383269,-254.34,-38565.16443607336
28,29,-6222.713689667242,41.63128951285502,-259.78,-38565.16443607336
29,30,-5854.927192266748,41.6871980143558,-269.34,-38565.16443607336
30,31,-6101.365126353235,40.49440710668899,-264.77,-38565.16443607336
31,32,-6261.339632312529,41.38933926295275,-277.62,-38565.16443607336
32,33,-6617.884953203257,41.50663432604497,-278.13,-38565.16443607336
33,34,-6426.065426350613,40.53124133385962,-273.32,-38565.16443607336
34,35,-6596.888684450968,40.94823431972822,-279.9,-39160.46690820253
35,36,-6700.486339755406,41.09920028085889,-281.0,-39160.46690820253
36,37,-7085.075063883607,41.953689160308414,-285.35,-39160.46690820253
37,38,-6990.868172219866,42.21101121253283,-288.01,-39160.46690820253
38,39,-6995.0762374207425,42.153432811356176,-288.03,-39160.46690820253
39,40,-7033.753776067394,43.222189024945266,-299.39,-39160.46690820253
40,41,-6660.183177067621,43.1909752908621,-304.34,-39160.46690820253
