,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3879.101669417572,32.00157154422221,-10.14,-12785.087501306534
1,2,-647.8356636414409,9.608676809062914,-25.35,-22104.63763633138
2,3,-1015.6100397431,10.537668782042111,-34.53,-22104.63763633138
3,4,-2018.8072010151002,18.93762058377775,-55.06,-22104.63763633138
4,5,-2226.4642083699423,21.11855478007547,-64.44,-24938.190104931535
5,6,-3181.0078081671304,34.87793050351369,-99.56,-24938.190104931535
6,7,-3805.3689567009524,39.732370396607934,-107.6,-24938.190104931535
7,8,-4175.9265938381395,38.9650532006763,-132.21,-33430.91561229986
8,9,-3978.72507992554,37.52352369393751,-141.42,-33430.91561229986
9,10,-4270.101223735013,39.78733479184576,-172.63,-33430.91561229986
10,11,-4474.677330957022,39.35274021942833,-181.19,-33430.91561229986
11,12,-4959.426101966371,39.90115393792247,-191.16,-33430.91561229986
12,13,-5036.054736325154,38.623040573980205,-196.64,-33430.91561229986
13,14,-5196.467229030397,40.205302744619694,-205.42,-33430.91561229986
14,15,-5096.866928780738,39.97732029939202,-209.13,-33430.91561229986
15,16,-5381.776091546214,40.57666366480843,-211.4,-33430.91561229986
16,17,-5486.446842271405,40.1789504264983,-209.31,-33430.91561229986
17,18,-5639.343802944886,39.71134532840906,-204.75,-33430.91561229986
18,19,-5597.603822195622,38.278731917288155,-199.9,-33430.91561229986
19,20,-5590.36602415345,38.664025104452286,-202.34,-33430.91561229986
20,21,-5705.0777180114,39.21691319418693,-213.43,-33430.91561229986
21,22,-5680.388924696369,39.08715186655918,-210.97,-33430.91561229986
22,23,-5783.797787976771,39.362821674928284,-215.35,-33430.91561229986
23,24,-5581.840991684636,37.73888908086749,-207.75,-33430.91561229986
24,25,-5642.234435305404,39.55494170503881,-219.92,-33430.91561229986
25,26,-5488.653061452566,38.95484404266183,-223.61,-33430.91561229986
26,27,-5424.42395939369,38.87692942127832,-236.29,-33430.91561229986
27,28,-5799.829481133168,39.802659186969066,-244.56,-33430.91561229986
28,29,-5633.036260858893,39.33430530004551,-248.39,-33430.91561229986
29,30,-5450.125801083592,39.38057826054002,-256.48,-33430.91561229986
30,31,-5690.015208959641,39.53687844337318,-256.99,-33430.91561229986
31,32,-5617.337377160362,39.39743231033653,-258.64,-33430.91561229986
32,33,-5787.708025314312,38.77230028348846,-253.53,-33430.91561229986
33,34,-6267.533867664676,39.35131889566876,-258.16,-34001.45051154327
34,35,-6228.199274154505,38.81676647299127,-253.89,-34001.45051154327
35,36,-6129.511137883125,38.79984431494875,-262.33,-34001.45051154327
36,37,-6121.914596217701,37.776664433110895,-261.74,-34001.45051154327
37,38,-6208.454239336631,37.90244496944145,-263.89,-34001.45051154327
38,39,-6185.006202491471,37.482410296660326,-264.09,-34001.45051154327
39,40,-6050.238930509732,36.898017988057866,-257.53,-34001.45051154327
40,41,-5878.545991012092,36.27994730661639,-253.54,-34001.45051154327
41,42,-5880.090225173922,36.23265022895634,-255.07,-34001.45051154327
42,43,-6040.449485042382,36.30072067123749,-253.64,-34001.45051154327
43,44,-6100.2115355513815,36.00875244430685,-251.04,-34001.45051154327
44,45,-6106.924209086307,36.077035965706045,-254.87,-34001.45051154327
45,46,-6315.32254307651,38.65759977865221,-279.12,-34001.45051154327
46,47,-6370.05658197438,38.35418565659296,-273.37,-34001.45051154327
47,48,-6510.600416344463,38.78260889368168,-276.98,-34001.45051154327
48,49,-6632.523077239015,39.10133271622293,-277.07,-34001.45051154327
49,50,-6804.122817377386,38.31581799826666,-267.83,-34001.45051154327
50,51,-6972.747548721875,38.737142617067484,-269.22,-34001.45051154327
51,52,-7107.728927365291,38.7581430511136,-271.91,-34001.45051154327
52,53,-7191.452719122291,38.96488986715726,-270.05,-34001.45051154327
53,54,-7208.620138055854,39.28676598551526,-271.81,-34001.45051154327
54,55,-6867.517074310343,37.847051543461,-264.77,-34001.45051154327
55,56,-6840.281461379836,38.08321642030763,-267.69,-34001.45051154327
56,57,-6606.096642619355,38.386191112476176,-275.22,-34001.45051154327
57,58,-6733.805347282825,38.036618639193506,-271.58,-34001.45051154327
58,59,-6653.752097748845,37.35516842161552,-268.36,-34001.45051154327
59,60,-6652.518243997224,37.379128744904385,-269.05,-34001.45051154327
60,61,-6709.391467934437,38.25524450836935,-278.8,-34001.45051154327
61,62,-6358.579516562434,38.286466553828674,-289.04,-34001.45051154327
62,63,-6514.406719486775,38.0984315008863,-287.54,-34001.45051154327
63,64,-6759.964714809653,37.273762978796654,-279.62,-34001.45051154327
64,65,-6716.138086219812,37.04829426578602,-282.58,-34001.45051154327
65,66,-6484.090352567448,36.435110863679945,-280.38,-34001.45051154327
66,67,-6705.872548070844,37.01122168542586,-288.95,-34001.45051154327
67,68,-5739.663446994496,36.351358861862245,-295.87,-53390.721810333125
68,69,-5594.058629248569,36.06192125248724,-301.5,-53390.721810333125
69,70,-5916.241729018964,36.632167554539926,-304.72,-53390.721810333125
70,71,-5608.079024049829,35.33809532515836,-287.78,-53390.721810333125
71,72,-5804.635052648704,36.70735349583119,-304.0,-53390.721810333125
72,73,-5586.201868638884,36.58355222160706,-309.39,-53390.721810333125
73,74,-5672.585421740407,36.96813487502649,-312.17,-53390.721810333125
74,75,-5711.317533368578,37.2243523048519,-318.0,-53390.721810333125
75,76,-5693.154032606171,36.096171442282944,-302.85,-53390.721810333125
76,77,-5900.123047239425,36.466991299327304,-304.38,-53390.721810333125
77,78,-5916.558047029864,36.69453056812021,-306.31,-53390.721810333125
78,79,-5944.869010495902,37.05918630744496,-316.64,-53390.721810333125
79,80,-6652.223305717231,36.985333704481995,-315.35,-53390.721810333125
80,81,-6695.586050881136,36.53603503447448,-309.52,-53390.721810333125
81,82,-7143.233246419727,35.99525431687839,-302.73,-53390.721810333125
82,83,-6989.019798682893,35.5669471526944,-303.06,-53390.721810333125
83,84,-6979.6745562008255,35.07937504627923,-297.3,-53390.721810333125
84,85,-7107.432887196747,34.14182098360266,-279.14,-53390.721810333125
85,86,-7186.5193205321675,34.48687143339437,-282.99,-53390.721810333125
86,87,-7728.176583230774,33.88668181415436,-269.35,-53390.721810333125
87,88,-7793.792501527745,34.53721993926795,-280.21,-53390.721810333125
88,89,-7796.474509940736,34.59197573578527,-282.7,-53390.721810333125
89,90,-7959.418533636942,34.84619055955611,-278.31,-53390.721810333125
90,91,-9222.960866295241,37.3195303060298,-297.1,-53390.721810333125
91,92,-9249.90128391541,37.65524611838003,-300.84,-53390.721810333125
92,93,-9758.052442964567,37.246959457840674,-296.42,-53390.721810333125
93,94,-9742.443961079734,37.76909280471456,-309.82,-53390.721810333125
94,95,-9732.672813063366,38.21719889512697,-320.89,-53390.721810333125
95,96,-9729.315516335502,37.96794504939854,-315.3,-53390.721810333125
96,97,-9921.466143583,38.26078976938991,-315.67,-53390.721810333125
97,98,-10139.0273120144,38.525802120788676,-311.46,-53390.721810333125
98,99,-10301.370954994332,38.69436656605942,-310.62,-53390.721810333125
99,100,-10076.003307037096,38.06697043041597,-316.22,-53390.721810333125
100,101,-9918.412870707638,37.7322917012652,-314.73,-53390.721810333125
101,102,-9903.890633055938,37.476150124934186,-312.92,-53390.721810333125
102,103,-10074.255904269181,37.97073375430344,-314.56,-53390.721810333125
